source_vector,source_label,source_class,relationship_type,target_vector,target_label,target_class
"[0.03452454134821892, 0.04011273384094238, -0.02129700966179371, 0.0063291084952652454, 0.04068746790289879, 0.021633176133036613, 0.00660637067630887, 0.013815606944262981, 0.036563485860824585, 0.001538243144750595]",Gosong bulir,['PenyakitPadi'],memilikiGejala,"[0.03818255290389061, -0.015258912928402424, -0.013505012728273869, 0.016663823276758194, 0.010628636926412582, -0.0015360667603090405, -0.04873478412628174, 0.004074006341397762, -0.009021990932524204, -0.015549754723906517]",Bulir terdapat bercak,['Gejala']
"[0.03452454134821892, 0.04011273384094238, -0.02129700966179371, 0.0063291084952652454, 0.04068746790289879, 0.021633176133036613, 0.00660637067630887, 0.013815606944262981, 0.036563485860824585, 0.001538243144750595]",Gosong bulir,['PenyakitPadi'],memilikiGejala,"[0.03753756731748581, 0.005460740067064762, -0.007363577838987112, 0.049080099910497665, -0.023854875937104225, 0.043335191905498505, 0.016577711328864098, -0.019754229113459587, -0.01933273859322071, -0.04555242136120796]",Bulir pecah,['Gejala']
"[0.03452454134821892, 0.04011273384094238, -0.02129700966179371, 0.0063291084952652454, 0.04068746790289879, 0.021633176133036613, 0.00660637067630887, 0.013815606944262981, 0.036563485860824585, 0.001538243144750595]",Gosong bulir,['PenyakitPadi'],memilikiGejala,"[0.03612148016691208, 0.0048484764993190765, 0.026009220629930496, 0.03300115466117859, -0.007204847410321236, -0.026561008766293526, 0.0023949015885591507, 0.045683570206165314, -0.021011175587773323, -0.01916554942727089]",Bulir berubah warna,['Gejala']
"[0.03452454134821892, 0.04011273384094238, -0.02129700966179371, 0.0063291084952652454, 0.04068746790289879, 0.021633176133036613, 0.00660637067630887, 0.013815606944262981, 0.036563485860824585, 0.001538243144750595]",Gosong bulir,['PenyakitPadi'],memilikiGejala,"[0.03656195476651192, 0.02377898246049881, 0.006601404864341021, 0.03325789049267769, -0.010711935348808765, -0.023030659183859825, 0.041179947555065155, -0.04664446413516998, -0.0325985886156559, -0.00048729690024629235]",Bulir mengalami kerusakan,['Gejala']
"[0.03643496334552765, -0.020186755806207657, -0.03914661705493927, 0.007300472818315029, 0.04418497532606125, -0.012044863775372505, 0.011073799803853035, -0.014960511587560177, -0.030700985342264175, -0.008382745087146759]",Garis Merah,['PenyakitPadi'],memilikiGejala,"[0.038021307438611984, -0.010079000145196915, 0.013030346482992172, 0.024767892435193062, -0.022992240265011787, 0.00968174822628498, -0.007406661752611399, 0.0231169480830431, 0.013400320895016193, -0.023050421848893166]",Malai terdapat bercak,['Gejala']
"[0.03643496334552765, -0.020186755806207657, -0.03914661705493927, 0.007300472818315029, 0.04418497532606125, -0.012044863775372505, 0.011073799803853035, -0.014960511587560177, -0.030700985342264175, -0.008382745087146759]",Garis Merah,['PenyakitPadi'],memilikiGejala,"[0.037833187729120255, 0.045964233577251434, 0.010654931887984276, -0.032444026321172714, -0.04554993286728859, 0.022769199684262276, 0.007476150989532471, 0.028667045757174492, -0.04377364367246628, -0.03180119767785072]",Daun terdapat garis,['Gejala']
"[0.03643496334552765, -0.020186755806207657, -0.03914661705493927, 0.007300472818315029, 0.04418497532606125, -0.012044863775372505, 0.011073799803853035, -0.014960511587560177, -0.030700985342264175, -0.008382745087146759]",Garis Merah,['PenyakitPadi'],memilikiGejala,"[0.033894460648298264, -0.014245453290641308, -0.05131912603974342, 0.030178410932421684, -0.005532832350581884, -0.03150543197989464, -0.0349700003862381, 0.03855246305465698, -0.006740258540958166, -0.0383262038230896]",Daun terdapat bercak,['Gejala']
"[0.03643496334552765, -0.020186755806207657, -0.03914661705493927, 0.007300472818315029, 0.04418497532606125, -0.012044863775372505, 0.011073799803853035, -0.014960511587560177, -0.030700985342264175, -0.008382745087146759]",Garis Merah,['PenyakitPadi'],memilikiGejala,"[0.03817359358072281, 0.0016955265309661627, 0.04352473095059395, -0.005108173005282879, 0.047649700194597244, -0.034246187657117844, 0.009116776287555695, -0.0004236074164509773, -0.002220751019194722, -0.01596645824611187]",Daun mengering,['Gejala']
"[0.03833484277129173, -0.0034843874163925648, 0.016989370808005333, -0.013212242163717747, -0.018729422241449356, -0.04546400159597397, -0.03221134468913078, -0.019466549158096313, -0.0246430654078722, -0.008465790189802647]",Thrips,['HamaPadi'],memilikiGejala,"[0.03735840320587158, 0.04454953223466873, 0.03323126584291458, 0.013640177436172962, 0.01656637154519558, -0.010867233388125896, -0.02639104053378105, -0.00970651488751173, 0.01669205352663994, 0.046113502234220505]",Daun menguning,['Gejala']
"[0.03833484277129173, -0.0034843874163925648, 0.016989370808005333, -0.013212242163717747, -0.018729422241449356, -0.04546400159597397, -0.03221134468913078, -0.019466549158096313, -0.0246430654078722, -0.008465790189802647]",Thrips,['HamaPadi'],memilikiGejala,"[0.033894460648298264, -0.014245453290641308, -0.05131912603974342, 0.030178410932421684, -0.005532832350581884, -0.03150543197989464, -0.0349700003862381, 0.03855246305465698, -0.006740258540958166, -0.0383262038230896]",Daun terdapat bercak,['Gejala']
"[0.036340225487947464, -0.033497411757707596, -0.012079979293048382, -0.03188999369740486, -0.04859909415245056, 0.029816895723342896, 0.04524708539247513, 0.036283768713474274, 0.044956024736166, -0.013253149576485157]",Tungro,['PenyakitPadi'],terserangHama,"[0.035620369017124176, 0.006964750122278929, 0.034256547689437866, 0.0173295047134161, -0.0022286931052803993, 0.048811838030815125, -0.03660307079553604, -0.04549514502286911, 0.021493572741746902, -0.04712440073490143]",Wereng Hijau,['HamaPadi']
"[0.036340225487947464, -0.033497411757707596, -0.012079979293048382, -0.03188999369740486, -0.04859909415245056, 0.029816895723342896, 0.04524708539247513, 0.036283768713474274, 0.044956024736166, -0.013253149576485157]",Tungro,['PenyakitPadi'],terkenaPatogen,"[0.039633773267269135, 0.038121867924928665, 0.04767676070332527, 0.04372720047831535, 0.013216540217399597, -0.0024963985197246075, -0.020687902346253395, 0.032687537372112274, -0.010822806507349014, -0.04804375022649765]",Bercak Coklat,['PenyakitPadi']
"[0.036340225487947464, -0.033497411757707596, -0.012079979293048382, -0.03188999369740486, -0.04859909415245056, 0.029816895723342896, 0.04524708539247513, 0.036283768713474274, 0.044956024736166, -0.013253149576485157]",Tungro,['PenyakitPadi'],terkenaPatogen,"[0.03735840320587158, 0.04454953223466873, 0.03323126584291458, 0.013640177436172962, 0.01656637154519558, -0.010867233388125896, -0.02639104053378105, -0.00970651488751173, 0.01669205352663994, 0.046113502234220505]",Daun menguning,['Gejala']
"[0.03635426610708237, 0.03253500163555145, -0.028524814173579216, 0.013868521898984909, -0.02201044373214245, -0.007036796770989895, 0.031346313655376434, 0.04584687203168869, 0.029794512316584587, -0.01076569315046072]",Belatung Lalat Bibit,['HamaPadi'],memilikiGejala,"[0.03774360567331314, 0.015508627519011497, -0.01904764585196972, 0.04983600974082947, 0.024660691618919373, -0.004332014825195074, -0.014008224941790104, -0.0163090992718935, 0.024238750338554382, -0.03596823662519455]",Batang membusuk,['Gejala']
